Name,Created,Files & media,Tags
AugustSecrets Elevate Your Social Impact Deck,"August 2, 2024 4:57 AM",,
Ijokodo Harvest,"January 22, 2025 12:39 PM",,
Llamas Grace Foundation,"May 25, 2025 2:09 AM","Hi,%20I%E2%80%99m%20Uriel%20Maforikan!/Untitled/Llamas%20Grace%20Foundation/Illamas_Grace_Foundation_Logo_-_6.png","brand, flyer, foundaton, logo design, ngo"
The Refuel Experience,"November 13, 2025 2:33 AM","Hi,%20I%E2%80%99m%20Uriel%20Maforikan!/Untitled/Llamas%20Grace%20Foundation/Illamas_Grace_Foundation_Logo_-_6.png","brand, flyer, foundaton, logo design, ngo"
