Name,About,Created,Duration,Roles,Status,Tags,Tools
Filmmaking,,"August 2, 2024 4:57 AM",,,Not started,,
Art Design,,"January 23, 2025 4:59 PM",,,Not started,,
Photography,,"August 30, 2025 5:46 AM",,Photographer,Not started,photography,Adobe Photoshop
